date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:18	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2014%20May%202017%2017:03:03%20GMT	http://psisyn.com/robots.txt		(from )
18:02:18	5013/5013	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2020:09:42%20GMT	http://psisyn.com/	C:/My%20Web%20Sites/AASADADA/psisyn.com/index.html	(from )
18:02:18	18413/18413	---M--	200	added ('OK')	text/css	etag:%2258a0c110-47ed%22	http://psisyn.com/assets/css/main.css	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/css/main.css	(from http://psisyn.com/)
18:02:18	320/320	---M--	200	added ('OK')	text/css	etag:%225669c35a-140%22	http://psisyn.com/assets/css/noscript.css	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/css/noscript.css	(from http://psisyn.com/)
18:02:19	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2258a0c3fa-47e%22	http://psisyn.com/favicon.ico	C:/My%20Web%20Sites/AASADADA/psisyn.com/favicon.ico	(from http://psisyn.com/)
18:02:19	10048/10048	---M--	200	added ('OK')	image/jpeg	etag:%2258a0b0be-2740%22	http://psisyn.com/images/avatar.jpg	C:/My%20Web%20Sites/AASADADA/psisyn.com/images/avatar.jpg	(from http://psisyn.com/)
18:02:19	189/189	---M--	200	added ('OK')	application/javascript	etag:%2258a0fa7e-bd%22	http://psisyn.com/js/index.js	C:/My%20Web%20Sites/AASADADA/psisyn.com/js/index.js	(from http://psisyn.com/)
18:02:20	26734/26734	---M--	200	added ('OK')	text/css	etag:%225669c358-686e%22	http://psisyn.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/css/font-awesome.min.css	(from http://psisyn.com/assets/css/main.css)
18:02:21	84355/84355	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2020:04:24%20GMT	http://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/AASADADA/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from http://psisyn.com/)
18:02:24	64464/64464	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Feb%202017%2018:54:02%20GMT	http://psisyn.com/assets/fonts/fontawesome-webfont93e3.html?v=4.4.0	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfont93e393e3.html	(from http://psisyn.com/assets/css/font-awesome.min.css)
18:02:32	71029/71029	---M--	200	added ('OK')	image/jpeg	etag:%2258a0b06a-11575%22	http://psisyn.com/images/bg.jpg	C:/My%20Web%20Sites/AASADADA/psisyn.com/images/bg.jpg	(from http://psisyn.com/assets/css/main.css)
18:02:34	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225669c35a-10d0b%22	http://psisyn.com/assets/fonts/fontawesome-webfont93e3.eot?v=4.4.0	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfont93e393e3.eot	(from http://psisyn.com/assets/css/font-awesome.min.css)
18:02:37	355981/355981	---M--	200	added ('OK')	image/svg+xml	etag:%225669c35a-56e8d%22	http://psisyn.com/assets/fonts/fontawesome-webfont93e3.svg?v=4.4.0	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfont93e393e3.svg	(from http://psisyn.com/assets/css/font-awesome.min.css)
18:02:37	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225669c35a-10d0b%22	http://psisyn.com/assets/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfontd41dd41d.eot	(from http://psisyn.com/assets/css/font-awesome.min.css)
18:02:38	81284/81284	---M--	200	added ('OK')	application/font-woff	etag:%225669c35c-13d84%22	http://psisyn.com/assets/fonts/fontawesome-webfont93e3.woff?v=4.4.0	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfont93e393e3.woff	(from http://psisyn.com/assets/css/font-awesome.min.css)
18:02:42	138204/138204	---M--	200	added ('OK')	application/octet-stream	etag:%225669c35a-21bdc%22	http://psisyn.com/assets/fonts/fontawesome-webfont93e3.ttf?v=4.4.0	C:/My%20Web%20Sites/AASADADA/psisyn.com/assets/fonts/fontawesome-webfont93e393e3.ttf	(from http://psisyn.com/assets/css/font-awesome.min.css)
